"day","fault","tc","ctc","cov","ccov"
1,0,2,2,0.0543,0.0543
2,0,2,4,0.0432,0.0975
3,0,3,7,0.0176,0.1151
4,0,32,39,0.0618,0.1769
5,0,138,177,0.0503,0.2272
6,2,60,237,0.057,0.2842
7,3,74,311,0.0419,0.3261
8,0,156,467,0.0314,0.3575
9,0,98,565,0.0538,0.4113
10,2,20,585,0.053,0.4643
11,0,14,599,0.086,0.5503
12,3,305,904,0.0574,0.6077
13,19,139,1043,0.0926,0.7003
14,8,25,1068,0.0427,0.743
15,5,71,1139,0.0261,0.7691
16,0,42,1181,0.0424,0.8115
17,0,7,1188,0.011,0.8225
18,2,99,1287,0.0319,0.8544
19,1,42,1329,0.0197,0.8741
20,2,15,1344,0.0128,0.8869
21,2,116,1460,0.0143,0.9012
22,0,16,1476,0.0083,0.9095
23,0,28,1504,0.0039,0.9134
24,0,38,1542,0.0019,0.9153
25,1,76,1618,0.0033,0.9186
26,0,167,1785,5e-04,0.9191
27,2,3,1788,0.0011,0.9202
28,0,90,1878,0.0018,0.922
29,0,32,1910,0.0013,0.9233
30,0,6,1916,0,0.9233
